14:29:17,1621150158.6064153,"[32.51, 32.51, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.53, 32.53]","[32.47, 32.46, 32.45, 32.45, 32.45, 32.45, 32.45, 32.45, 32.44, 32.44]",48926.65000000
14:34:24,1621150465.2989266,"[32.51, 32.51, 32.51, 32.52, 32.52, 32.53, 32.53, 32.53, 32.53, 32.53]","[32.47, 32.46, 32.46, 32.46, 32.45, 32.45, 32.45, 32.45, 32.45, 32.45]",48857.13000000
14:39:25,1621150766.5162287,"[32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.52, 32.52, 32.52, 32.53]","[32.47, 32.46, 32.46, 32.46, 32.46, 32.45, 32.45, 32.45, 32.44, 32.44]",48857.62000000
14:44:28,1621151069.4224684,"[32.5, 32.51, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.52, 32.52]","[32.47, 32.46, 32.46, 32.46, 32.45, 32.45, 32.45, 32.44, 32.44, 32.44]",48948.10000000
14:49:30,1621151371.2592916,"[32.51, 32.51, 32.51, 32.51, 32.51, 32.51, 32.51, 32.51, 32.52, 32.52]","[32.47, 32.46, 32.45, 32.45, 32.45, 32.45, 32.44, 32.44, 32.44, 32.44]",49268.56000000
14:54:31,1621151672.4675305,"[32.51, 32.51, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.52, 32.52]","[32.47, 32.46, 32.46, 32.45, 32.45, 32.45, 32.44, 32.44, 32.44, 32.44]",49068.30000000
14:59:34,1621151974.851576,"[32.51, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.52, 32.52, 32.52]","[32.47, 32.47, 32.46, 32.46, 32.45, 32.44, 32.44, 32.44, 32.44, 32.44]",49323.67000000
15:4:36,1621152276.9560628,"[32.51, 32.51, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.52, 32.52]","[32.47, 32.47, 32.45, 32.44, 32.44, 32.44, 32.43, 32.43, 32.42, 32.42]",49005.01000000
15:9:38,1621152579.694655,"[32.5, 32.5, 32.51, 32.51, 32.51, 32.51, 32.51, 32.51, 32.51, 32.51]","[32.49, 32.45, 32.44, 32.44, 32.44, 32.44, 32.44, 32.43, 32.43, 32.43]",48840.00000000
15:14:40,1621152881.5198944,"[32.5, 32.5, 32.5, 32.5, 32.51, 32.51, 32.51, 32.51, 32.51, 32.52]","[32.46, 32.46, 32.45, 32.45, 32.45, 32.45, 32.44, 32.44, 32.44, 32.44]",49027.51000000
15:19:42,1621153182.8501625,"[32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.52, 32.53, 32.53, 32.53]","[32.47, 32.45, 32.45, 32.45, 32.45, 32.44, 32.44, 32.44, 32.44, 32.44]",48950.00000000
15:24:43,1621153484.496236,"[32.51, 32.51, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.53, 32.53]","[32.47, 32.45, 32.45, 32.45, 32.45, 32.45, 32.45, 32.44, 32.44, 32.44]",48904.00000000
15:29:45,1621153786.233782,"[32.51, 32.51, 32.51, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.53]","[32.47, 32.46, 32.46, 32.45, 32.45, 32.45, 32.45, 32.45, 32.45, 32.45]",48883.38000000
15:34:47,1621154087.7439094,"[32.51, 32.52, 32.52, 32.52, 32.52, 32.53, 32.53, 32.53, 32.53, 32.53]","[32.47, 32.47, 32.46, 32.46, 32.45, 32.45, 32.45, 32.45, 32.45, 32.45]",48894.57000000
15:39:48,1621154389.3647587,"[32.5, 32.5, 32.5, 32.51, 32.51, 32.51, 32.52, 32.52, 32.53, 32.53]","[32.47, 32.46, 32.46, 32.45, 32.45, 32.45, 32.45, 32.45, 32.44, 32.44]",48820.09000000
15:44:50,1621154691.2483218,"[32.5, 32.5, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.52, 32.52]","[32.47, 32.47, 32.46, 32.45, 32.45, 32.45, 32.45, 32.45, 32.44, 32.44]",48883.24000000
15:49:52,1621154992.7849,"[32.5, 32.51, 32.51, 32.51, 32.52, 32.52, 32.52, 32.52, 32.52, 32.52]","[32.47, 32.47, 32.46, 32.46, 32.46, 32.45, 32.45, 32.45, 32.45, 32.45]",48771.17000000
15:54:53,1621155294.342292,"[32.51, 32.52, 32.52, 32.52, 32.52, 32.52, 32.52, 32.53, 32.53, 32.53]","[32.47, 32.46, 32.46, 32.46, 32.46, 32.46, 32.46, 32.45, 32.45, 32.45]",48862.89000000
15:59:55,1621155596.091334,"[32.5, 32.51, 32.52, 32.52, 32.52, 32.52, 32.52, 32.52, 32.53, 32.53]","[32.47, 32.47, 32.46, 32.46, 32.46, 32.46, 32.46, 32.45, 32.45, 32.45]",48912.55000000
