0:0:0,1622307602.500475,"[32.27, 32.28, 32.29, 32.29, 32.29, 32.29, 32.3, 32.3, 32.3, 32.31]","[32.25, 32.24, 32.24, 32.24, 32.24, 32.23, 32.23, 32.22, 32.22, 32.22]",32.292,32.27,32.233,32.25,34815.34000000
0:5:0,1622307902.9479198,"[32.27, 32.27, 32.28, 32.28, 32.29, 32.29, 32.29, 32.29, 32.29, 32.3]","[32.24, 32.24, 32.23, 32.23, 32.23, 32.23, 32.22, 32.22, 32.22, 32.22]",32.285,32.27,32.228,32.24,34611.95000000
0:10:0,1622308202.712284,"[32.28, 32.28, 32.28, 32.29, 32.29, 32.29, 32.29, 32.3, 32.3, 32.3]","[32.25, 32.25, 32.24, 32.24, 32.24, 32.24, 32.24, 32.23, 32.23, 32.23]",32.29,32.28,32.239,32.25,34495.00000000
0:15:0,1622308501.175869,"[32.29, 32.29, 32.29, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3]","[32.25, 32.25, 32.25, 32.25, 32.24, 32.24, 32.24, 32.24, 32.24, 32.24]",32.297,32.29,32.244,32.25,34344.44000000
0:20:0,1622308802.36521,"[32.3, 32.3, 32.31, 32.31, 32.32, 32.32, 32.32, 32.32, 32.33, 32.33]","[32.28, 32.27, 32.27, 32.27, 32.27, 32.26, 32.26, 32.26, 32.26, 32.25]",32.316,32.3,32.265,32.28,34272.54000000
0:25:0,1622309104.8778062,"[32.32, 32.32, 32.32, 32.34, 32.34, 32.34, 32.35, 32.35, 32.36, 32.36]","[32.3, 32.3, 32.3, 32.29, 32.29, 32.29, 32.28, 32.28, 32.28, 32.27]",32.34,32.32,32.288,32.3,34342.29000000
0:30:0,1622309402.163792,"[32.34, 32.34, 32.34, 32.34, 32.35, 32.35, 32.35, 32.35, 32.36, 32.36]","[32.33, 32.31, 32.31, 32.31, 32.3, 32.3, 32.29, 32.29, 32.28, 32.27]",32.348,32.34,32.299,32.33,34282.81000000
0:35:0,1622309702.0142434,"[32.34, 32.35, 32.36, 32.36, 32.36, 32.36, 32.36, 32.36, 32.36, 32.37]","[32.33, 32.32, 32.3, 32.3, 32.3, 32.3, 32.29, 32.29, 32.26, 32.25]",32.358,32.34,32.294,32.33,34298.45000000
0:40:0,1622310002.056493,"[32.35, 32.35, 32.35, 32.35, 32.35, 32.35, 32.36, 32.36, 32.36, 32.36]","[32.3, 32.3, 32.29, 32.29, 32.29, 32.27, 32.26, 32.26, 32.26, 32.25]",32.354,32.35,32.277,32.3,34258.27000000
0:45:0,1622310301.1403065,"[32.34, 32.34, 32.35, 32.35, 32.35, 32.36, 32.36, 32.36, 32.36, 32.36]","[32.3, 32.3, 32.29, 32.29, 32.29, 32.29, 32.29, 32.29, 32.27, 32.26]",32.353,32.34,32.287,32.3,34167.22000000
